DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document url*;Url type*;Subscriptions;Document description;Language*;Document type*;Document identifier;Publication date;AcCode*;;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;;ID du fichier hébergé;Supprimer
1928700;Local;;Risikobeurteilung gemäß 2006/42/EG, 3. Auflage 2013 (2013-05-01);de;trule;Risikobeurteilung gemäß 2006/42/EG, 3. Auflage 2013;2013-05-01;CSTOMN00000007;;;
https://nautos.intranet.jungheinrich.com/Volltext/Downloads_Standard/2702370.PDF;Url;;dejhvg00;de;trule;DIN EN 16984;2017-09-00;DE30073725;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.22 - 2018_scannt.pdf;Url;;ANSI;en;;empty;20.07.2023 10:44:05;CSTOMN0067;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ABNT_Brasilien/ABNT NBR 15524-2_2007.pdf;Url;;ABNT_Brasilien;xx;trule;ABNT NBR 15524-2;2007-10-01;BR88136040;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.24 - 2018_scannt.pdf;Url;;ANSI;en;;empty;20.07.2023 10:44:05;CSTOMN0068;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI_ASSP Z359.11-2014.pdf;Url;;ANSI;en;trule;ANSI/ASSE Z 359.11;2014-00-00;US83518570;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.20 - 2018_scannt.pdf;Url;;ANSI;en;;empty;20.07.2023 10:44:05;CSTOMN0065;;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI  ASSE Z 359.4-2013_scannt.pdf;Url;;ANSI;en;trule;ANSI/ASSE Z 359.4;2013-00-00;US83516244;;;
