DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document Url*;Url Type*;Subscriptions;Document Description;Language*;Document Type*;Document identifier;Publication date;AcCode*;ID;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;ID du fichier hébergé;Supprimer
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46042843&vernum=1;Url;;VDI 2083 Blatt 1 (2013-01-00);mu;trule;VDI 2083 Blatt 1;2013-01-00;DE45665107;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46042074&vernum=1;Url;;VDI 2083 Blatt 5.1 (2007-09-00);mu;trule;VDI 2083 Blatt 5.1;2007-09-00;DE45852983;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46042844&vernum=1;Url;;VDI 2083 Blatt 4.1 (2006-10-00);mu;trule;VDI 2083 Blatt 4.1;2006-10-00;DE45708603;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46042956&vernum=1;Url;;VDI 2083 Blatt 3 (2005-07-00);mu;trule;VDI 2083 Blatt 3;2005-07-00;DE45708332;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46042845&vernum=1;Url;;VDI 2083 Blatt 9.2 (2014-10-00);de;trule;VDI 2083 Blatt 9.2;2014-10-00;DE88232662;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46043328&vernum=1;Url;;VDI 2083 Blatt 9.1 (2006-12-00);mu;trule;VDI 2083 Blatt 9.1;2006-12-00;DE45708722;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46043232&vernum=1;Url;;VDI 2083 Blatt 3.1 (2012-06-00);mu;trule;VDI 2083 Blatt 3.1;2012-06-00;DE88049950;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=46043431&vernum=1;Url;;VDI 2083 Blatt 4.2 (2011-04-00);mu;trule;VDI 2083 Blatt 4.2;2011-04-00;DE45664600;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=50485813&vernum=1;Url;;VDI 2083 Blatt 17 (2013-06-00);mu;trule;VDI 2083 Blatt 17;2013-06-00;DE88071186;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=50689507&vernum=1;Url;;VDI 2083 Blatt 12 (2000-01-00);mu;trule;VDI 2083 Blatt 12;2000-01-00;DE45500948;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=50689631&vernum=1;Url;;VDI 2083 Blatt 8.1 (2014-10-00);mu;trule;VDI 2083 Blatt 8.1;2014-10-00;DE88226311;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51690700&vernum=1;Url;;VDI/VDE 2632 Blatt 1 (2010-04-00);mu;trule;VDI/VDE 2632 Blatt 1;2010-04-00;DE45664240;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=50687725&vernum=1;Url;;VDI 2083 Blatt 7 (2015-10-00);mu;trule;VDI 2083 Blatt 7;2015-10-00;DE45631562;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51691293&vernum=1;Url;;VDI/VDE/VDMA 2632 Blatt 2 (2015-10-00);mu;trule;VDI/VDE/VDMA 2632 Blatt 2;2015-10-00;DE45631563;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51813816&vernum=1;Url;;VDI 2736 Blatt 1 (2016-07-00);mu;trule;VDI 2736 Blatt 1;2016-07-00;DE45665841;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51820665&vernum=1;Url;;VDI 2736 Blatt 2 (2014-06-00);mu;trule;VDI 2736 Blatt 2;2014-06-00;DE88189609;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51819444&vernum=1;Url;;VDI 2736 Blatt 4 (2016-01-00);mu;trule;VDI 2736 Blatt 4;2016-01-00;DE88294684;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=51823180&vernum=1;Url;;VDI/DGQ 3441 (1977-03-00);de;trule;VDI/DGQ 3441;1977-03-00;DE18105382;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=52138107&vernum=1;Url;;VDI/VDE 2616 Blatt 1 (2012-08-00);mu;trule;VDI/VDE 2616 Blatt 1;2012-08-00;DE88042525;;;
