DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document Url*;Url Type*;Subscriptions;Document Description;Language*;Document Type*;Document identifier;Publication date;AcCode*;ID;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;ID du fichier hébergé;Supprimer
http://jhci/livelink/llisapi.dll/1377607/DIN_ISO_9022-1_Optik_und_optische_Instrumente_-_Umweltpr%C3%BCfverfahren_-_Definitionen-Pr%C3%BCfumfang.pdf?func=doc.Fetch&nodeId=1377607&vernum=2;Url;;DIN ISO 9022-1 (2016-12-00);de;trule;DIN ISO 9022-1;2016-12-00;DE30069723;;;
http://jhci/livelink/llisapi.dll/56197122/DIN_EN_ISO_13000-2_Kunststoffe_-_Polytetrafluorethylen_-Halbzeuge_-_Teil_2_Herstellung_von_Probek%C3%B6rpern_und_Bestimmung_von_Eigenschaften_02_2006.pdf?func=doc.Fetch&nodeId=56197122&vernum=1;Url;;DIN EN ISO 13000-2 (2006-02-00);de;trule;DIN EN ISO 13000-2;2006-02-00;DE30016712;;;
http://jhci/livelink/llisapi.dll/626897/DIN_EN_754-7_-_Aluminium_und_Aluminiumlegierungen_-_Gezogene_Stangen_und_Rohre_-_Teil_7_Nahtlose_Rohre%2C_Grenzabma%C3%9Fe_und_Formtoleranzen.pdf?func=doc.Fetch&nodeId=626897&vernum=3;Url;;DIN EN 754-7 (2016-10-00);de;trule;DIN EN 754-7;2016-10-00;DE30067741;;;
http://jhci/livelink/llisapi.dll/56195770/DIN_EN_1655_Kupfer_und_Kupferlegierungen_-_Konformit%C3%A4tserkl%C3%A4rungen_06_1997.pdf?func=doc.Fetch&nodeId=56195770&vernum=1;Url;;DIN EN 1655 (1997-06-00);de;trule;DIN EN 1655;1997-06-00;DE19001869;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll/60733124/DIN_9300-2_Luft-_und_Raumfahrt__Begriffe%2C_Gr%C3%B6%C3%9Fen_und_Formelzeichen_der_Flugmechanik__Bewegung_des_Luftfahrzeuges_gegen%C3%BCber_der_Luft.pdf?func=doc.Fetch&nodeId=60733124&vernum=1;Url;;DIN 9300-2 (1990-10-00);de;trule;DIN 9300-2;1990-10-00;DE18912262;;;
http://jhci/livelink/llisapi.dll/4544872/DIN_007_Zylinderstifte.pdf?func=doc.Fetch&nodeId=4544872&vernum=1;Url;;DIN 7 (1981-09-00);de;trule;DIN 7;1981-09-00;DE18103655;;;
http://jhci/livelink/llisapi.dll/63466339/VDE_0837-4__DIN_EN_60825-4_DRAFT_Sicherheit_von_Lasereinrichtungen_Teil_4_Laserschutzw%C3%A4nde_03_2017_DRAFT.pdf?func=doc.Fetch&nodeId=63466339&vernum=1;Url;;DIN EN 60825-4 * VDE 0837-4 (2017-03-00);xx;trule;DIN EN 60825-4 * VDE 0837-4;2017-03-00;DE30071152;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=30476040&vernum=1;Url;;DIN-Fachbericht 146 (2006-01-00);de;trule;DIN-Fachbericht 146;2006-01-00;DE30018711;;;
http://jhci/livelink/llisapi.dll/61407624/DIN_EN_10277_Blankstahlerzeugnisse%C2%A0-_Technische_Lieferbedingungen_09_2018.pdf?func=doc.Fetch&nodeId=61407624&vernum=1;Url;;DIN EN 10277 (2018-09-00);de;trule;DIN EN 10277;2018-09-00;DE30075635;;;
http://jhci/livelink/llisapi.dll/60383390/DIN_EN_60079-7__VDE_0170-6_Beiblatt_1_Explosionsgef%C3%A4hrdete_Bereiche_-_Teil_7_Ger%C3%A4teschutz_durch_erh%C3%B6hte_Sicherheit_e_Beiblatt_1_10_2017.pdf?func=doc.Fetch&nodeId=60383390&vernum=1;Url;;DIN EN 60079-7 Beiblatt 1 * VDE 0170-6 Beiblatt 1 (2017-10-00);de;trule;DIN EN 60079-7 Beiblatt 1 * VDE 0170-6 Beiblatt 1;2017-10-00;DE30073485;;;
http://jhci/livelink/llisapi.dll/58519240/DIN_18205_Bedarfsplanung_im_Bauwesen_11_2016.pdf?func=doc.Fetch&nodeId=58519240&vernum=1;Url;;DIN 18205 (2016-11-00);de;trule;DIN 18205;2016-11-00;DE30069312;;;
http://jhci/livelink/llisapi.dll/60381913/DIN_EN_60079-7__VDE_0170-6_Explosionsf%C3%A4hige_Atmosph%C3%A4re_-_Teil_7_Ger%C3%A4teschutz_durch_erh%C3%B6hte_Sicherheit_e_08_2007_zur%C3%BCckgezogen.pdf?func=doc.Fetch&nodeId=60381913&vernum=1;Url;;DIN EN 60079-7 * VDE 0170-6 (2007-08-00);de;trule;DIN EN 60079-7 * VDE 0170-6;2007-08-00;DE30025280;;;
http://jhci/livelink/llisapi.dll/55482433/VDE_0802-2-4%2C_DIN_IEC_62443-2-4_DRAFT_IT-Sicherheit_f%C3%BCr_industrielle_Automatisierungssysteme_Teil_2-4_Anforderungen_an_das_IT-Sicherheitsprogramm_von_Dienstleistern_DRAFT_01_2017.pdf?func=doc.Fetch&nodeId=55482433&vernum=1;Url;;DIN IEC 62443-2-4 * VDE 0802-2-4 (2017-01-00);de;trule;DIN IEC 62443-2-4 * VDE 0802-2-4;2017-01-00;DE30070391;;;
http://jhci/livelink/llisapi.dll/57386661/DIN_ISO_9022-3_Optik_und_Photonik%C2%A0-_Umweltpr%C3%BCfverfahren%C2%A0-_Teil%C2%A03_Mechanische_Beanspruchung_08_2015.pdf?func=doc.Fetch&nodeId=57386661&vernum=1;Url;;DIN ISO 9022-3 (2015-08-00);de;trule;DIN ISO 9022-3;2015-08-00;DE30062682;;;
http://jhci/livelink/llisapi.dll/60853112/DIN_ISO_8826-2_Warnvermerk_1_07_2018.pdf?func=doc.Fetch&nodeId=60853112&vernum=1;Url;;DIN ISO 8826-2 (1995-10-00);de;trule;DIN ISO 8826-2;1995-10-00;DE18970981;;;
http://jhci/livelink/llisapi.dll/56570093/VDE_0170-5__DIN_EN_60079-1_Explosionsgef%C3%A4hrdete_Bereiche_-_Teil_1_Ger%C3%A4teschutz_durch_druckfeste_Kapselung_%C2%84d_04_2015.pdf?func=doc.Fetch&nodeId=56570093&vernum=1;Url;;DIN EN 60079-1 * VDE 0170-5 (2015-04-00);de;trule;DIN EN 60079-1 * VDE 0170-5;2015-04-00;DE30061044;;;
http://jhci/livelink/llisapi.dll/61803835/VDE_0833-1__DIN_VDE_0833-1_Gefahrenmeldeanlagen_f%C3%BCr_Brand%2C_Einbruch_und_%C3%9Cberfall_Teil_1_Allgemeine_Festlegungen.pdf?func=doc.Fetch&nodeId=61803835&vernum=1;Url;;DIN VDE 0833-1 * VDE 0833-1 (2014-10-00);de;trule;DIN VDE 0833-1 * VDE 0833-1;2014-10-00;DE30058793;;;
http://jhci/livelink/llisapi.dll/55744878/VDE_0613-2-2__DIN_EN_60998-2-2_Verbindungsmaterial_f%C3%BCr_Niederspannungs-Stromkreise_f%C3%BCr_Haushalt_und_%C3%A4hnliche_Zwecke_Teil_2-2_Besondere_Anforderungen_f%C3%BCr_Verbindungsmaterial_03_2005.pdf?func=doc.Fetch&nodeId=55744878&vernum=1;Url;;DIN EN 60998-2-2 * VDE 0613-2-2 (2005-03-00);de;trule;DIN EN 60998-2-2 * VDE 0613-2-2;2005-03-00;DE30014242;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=4981128&vernum=1;Url;;DIN-Fachbericht 54;mu;trule;DIN-Fachbericht 54;2003-00-00;DE45903960;;;
http://jhci/livelink/llisapi.dll/246279/DIN_7164_Arbeitslehrdorne_und_Kugelendma%C3%9Fe_f%C3%BCr_ISO-Pa%C3%9Fma%C3%9Fe_von_1_bis_500_mm_Nennma%C3%9F.pdf?func=doc.Fetch&nodeId=246279&vernum=2;Url;;DIN 7164 (2017-03-00);de;trule;DIN 7164;2017-03-00;DE30070688;;;
http://jhci/livelink/llisapi.dll/55746805/DIN_EN_ISO_13000-1_Kunststoffe%C2%A0-_Polytetrafluorethylen_%28PTFE%29-Halbzeuge%C2%A0-_Teil%C2%A01_Anforderungen_und_Bezeichnung_02_2006.pdf?func=doc.Fetch&nodeId=55746805&vernum=1;Url;;DIN EN ISO 13000-1 (2006-02-00);de;trule;DIN EN ISO 13000-1;2006-02-00;DE30016713;;;
http://jhci/livelink/llisapi.dll/62204417/DIN_VDE_0472-1_06_1987.pdf?func=doc.Fetch&nodeId=62204417&vernum=1;Url;;DIN VDE 0472-1 * VDE 0472-1 (1987-06-00);de;trule;DIN VDE 0472-1 * VDE 0472-1;1987-06-00;DE18701283;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll?func=doc.Fetch&nodeId=124262&vernum=1;Url;;DIN ISO 5725-3 (2000-08-00);mu;trule;DIN ISO 5725-3;2000-08-00;DE45802485;;;
http://jhci/livelink/llisapi.dll/45648760/IEC_62443-1-1__Industrial_communication_networks_-_Network_and_system_security_-_Terminology%2C_concepts_and_modelsen_ENG.pdf?func=doc.Fetch&nodeId=45648760&vernum=1;Url;;IEC/TS 62443-1-1 * CEI/TS 62443-1-1 (2009-07-00);en;trule;IEC/TS 62443-1-1 * CEI/TS 62443-1-1;2009-07-00;IX70005681;;;
http://jhci/livelink/llisapi.dll/55483442/DIN_VDE_0100_Beiblatt_5_Errichten_von_Niederspannungsanlagen_Beiblatt_5_Maximal_zul%C3%A4ssige_L%C3%A4ngen_von_Kabeln_und_Leitungen_unter_Ber%C3%BCcksichtigung_des_Fehlerschutzes_10_2017.pdf?func=doc.Fetch&nodeId=55483442&vernum=1;Url;;DIN VDE 0100 Beiblatt 5 * VDE 0100 Beiblatt 5 (2017-10-00);de;trule;DIN VDE 0100 Beiblatt 5 * VDE 0100 Beiblatt 5;2017-10-00;DE30073619;;;
http://jhci/livelink/llisapi.dll/609260/DIN_EN_ISO_19011_Leitfaden_zur_Auditierung_von_Managementsystemen.pdf?func=doc.Fetch&nodeId=609260&vernum=6;Url;;DIN EN ISO 19011 (2018-10-00);xx;trule;DIN EN ISO 19011;2018-10-00;DE30076735;;;
http://jhci/livelink/llisapi.dll/32727285/DIN_ISO_9022-2_-_Optik_und_optische_Instrumente_-_Umweltpr%C3%BCfverfahren_-_Teil_2_K%C3%A4lte%2C_W%C3%A4rme_und_Feuchte.pdf?func=doc.Fetch&nodeId=32727285&vernum=2;Url;;DIN ISO 9022-2 (2015-06-00);de;trule;DIN ISO 9022-2;2015-06-00;DE30062103;;;
http://jhci/livelink/llisapi.dll/248042/DIN_9825-2_F%C3%BChrungss%C3%A4ulen_f%C3%BCr_S%C3%A4ulengestelle.pdf?func=doc.Fetch&nodeId=248042&vernum=2;Url;;DIN 9825-2 (2013-01-00);de;trule;DIN 9825-2;2013-01-00;DE30051420;;;
http://jhci/livelink/llisapi.dll/55484945/VDE_0468-2-31__DIN_EN_60068-2-31_Umgebungseinfl%C3%BCsse_Teil_2-31_Pr%C3%BCfverfahren%E2%80%93Pr%C3%BCfung_Ec_Schocks_durch_raue_Handhabung%2C_vornehmlich_f%C3%BCr_Ger%C3%A4te_04_2009.pdf?func=doc.Fetch&nodeId=55484945&vernum=1;Url;;DIN EN 60068-2-31 * VDE 0468-2-31 (2009-04-00);de;trule;DIN EN 60068-2-31 * VDE 0468-2-31;2009-04-00;DE30033788;;;
http://jhci/livelink/llisapi.dll/61370307/VDI_VDE_2862_Blatt_1_Mindestanforderungen_zum_Einsatz_von_Schraubsystemen_und_-werkzeugen_-_Anwendungen_in_der_Automobilindustrie.pdf?func=doc.Fetch&nodeId=61370307&vernum=1;Url;;VDI/VDE 2862 Blatt 1 (2012-04-00);xx;trule;VDI/VDE 2862 Blatt 1;2012-04-00;DE88033724;;;
http://jhci/livelink/llisapi.dll/55329418/DIN_EN_ISO_10360-3_Geometrische_Produktspezifikation%C2%A0-_Annahmepr%C3%BCfung_und_Best%C3%A4tigungspr%C3%BCfung_f%C3%BCr_Koordinatenme%C3%9Fger%C3%A4te%C2%A0-_Teil%C2%A03_KMG_mit_der_Achse_eines_Drehtisches_als_vierte_Achse_08_2000.pdf?func=doc.Fetch&nodeId=55329418&vernum=1;Url;;DIN EN ISO 10360-3 (2000-08-00);de;trule;DIN EN ISO 10360-3;2000-08-00;DE45754870;;;
http://jhci/livelink/llisapi.dll/42888266/DIN_ISO_14997_Optik_und_Photonik%C2%A0-_Pr%C3%BCfverfahren_f%C3%BCr_Oberfl%C3%A4chenunvollkommenheiten_optischer_Komponenten.pdf?func=doc.Fetch&nodeId=42888266&vernum=2;Url;;DIN ISO 14997 (2018-05-00);de;trule;DIN ISO 14997;2018-05-00;DE30076508;;;
http://jhci/livelink/llisapi.dll/438070/DIN_EN_ISO_10360-6_Geometrische_Produktspezifikation_-_Annahmepr%C3%BCfung_u._Best%C3%A4tigungspr%C3%BCfung_f%C3%BCr_Koordinatenmessger%C3%A4te.pdf?func=doc.Fetch&nodeId=438070&vernum=2;Url;;DIN EN ISO 10360-6 (2009-01-00);de;trule;DIN EN ISO 10360-6;2009-01-00;DE30032860;;;
http://jhci/livelink/llisapi.dll/55745447/DIN_EN_ISO_11833-1_Kunststoffe%C2%A0-_Weichmacherfreie_Polyvinylchloridtafeln%C2%A0-%C2%A0Typen%2C_Ma%C3%9Fe_und_Eigenschaften%C2%A0-_Teil%C2%A01_Tafeln_mit_einer_Dicke_von_mindestens_1%C2%A0mm_11_2012.pdf?func=doc.Fetch&nodeId=55745447&vernum=1;Url;;DIN EN ISO 11833-1 (2012-11-00);de;trule;DIN EN ISO 11833-1;2012-11-00;DE30049186;;;
http://jhci/livelink/llisapi.dll/58100755/DIN_EN_ISO_11607-1_Warnvermerk.pdf?func=doc.Fetch&nodeId=58100755&vernum=1;Url;;DIN EN ISO 11607-1 (2017-10-00);de;trule;DIN EN ISO 11607-1;2017-10-00;DE30073675;;;
http://jhci/livelink/llisapi.dll/63671030/VDI_VDE_2608_Einflanken-_und_Zweiflanken-W%C3%A4lzpr%C3%BCfung_an_Zylinderr%C3%A4dern%2C_Kegelr%C3%A4dern%2C_Schnecken_und_Schneckenr%C3%A4dern.pdf?func=doc.Fetch&nodeId=63671030&vernum=1;Url;;VDI/VDE 2608 (2001-03-00);xx;trule;VDI/VDE 2608;2001-03-00;DE45755959;;;
http://jhci/livelink/llisapi.dll/62843234/DIN_EN_16798-17_Energetische_Bewertung_von_Geb%C3%A4uden%C2%A0-_L%C3%BCftung_von_Geb%C3%A4uden%C2%A0-_Teil%C2%A017_Leitlinien_f%C3%BCr_die_Inspektion_von_L%C3%BCftungs-_und_Klimaanlagen.pdf?func=doc.Fetch&nodeId=62843234&vernum=1;Url;;DIN EN 16798-17 (2017-11-00);de;trule;DIN EN 16798-17;2017-11-00;DE30068976;;;
http://jhci/livelink/llisapi.dll/62202106/DVS_0221_Gasversorgungsanlagen_f%C3%BCr_Schwei%C3%9Fen%2C_Schneiden_und_verwandte_Verfahren%C2%A0-_Empfehlungen_f%C3%BCr_Pr%C3%BCffristen_und_die_Gef%C3%A4hrdungsbeurteilung.pdf?func=doc.Fetch&nodeId=62202106&vernum=1;Url;;DVS 0221 (2017-02-00);de;trule;DVS 0221;2017-02-00;DE88474749;;;
http://jhci.global.jhcn.net/livelink/llisapi.dll/60733123/DIN_9300-1_Luft-_und_Raumfahrt__Begriffe%2C_Gr%C3%B6%C3%9Fen_und_Formelzeichen_der_Flugmechanik__Bewegungen_des_Luftfahrzeugs_und_der_Atmosph%C3%A4re_gegen%C3%BCber_der_Erde.pdf?func=doc.Fetch&nodeId=60733123&vernum=1;Url;;DIN 9300-1 (1990-10-00);de;trule;DIN 9300-1;1990-10-00;DE18912261;;;
http://jhci/livelink/llisapi.dll/124440/DIN_ISO_13715_Technische_Zeichnungen_-_Werkst%C3%BCckkanten_mit_unbestimmter_Form_Begriffe_u._Zeichnungsangaben.pdf?func=doc.Fetch&nodeId=124440&vernum=2;Url;;DIN ISO 13715 (2018-09-00);de;trule;DIN ISO 13715;2018-09-00;DE30077750;;;
http://jhci/livelink/llisapi.dll/1000059/DIN_EN_81-72_Sicherheitsregeln_f%C3%BCr_die_Konstruktion_u._den_Einbau_von_Aufz%C3%BCgen_-_Besondere_Anwendungen_f%C3%BCr_Personen-_u._Lastenaufz%C3%BCge.pdf?func=doc.Fetch&nodeId=1000059&vernum=2;Url;;DIN EN 81-72 (2015-06-00);de;trule;DIN EN 81-72;2015-06-00;DE30060006;;;
http://jhci/livelink/llisapi.dll/61880571/VDE_0411-2-030__DIN_EN_61010-2-030_Sicherheitsbestimmungen_f%C3%BCr_elektrische_Mess-%2C_Steuer-%2C_Regel-_und_Laborger%C3%A4te_-_Teil_2-030_Besondere_Bestimmungen.pdf?func=doc.Fetch&nodeId=61880571&vernum=1;Url;;DIN EN 61010-2-030 * VDE 0411-2-030 (2011-07-00);de;trule;DIN EN 61010-2-030 * VDE 0411-2-030;2011-07-00;DE30043244;;;
http://jhci/livelink/llisapi.dll/55342091/DIN_9825-3_F%C3%BChrungss%C3%A4ulen_f%C3%BCr_S%C3%A4ulengestelle_Form_K_02_1993.pdf?func=doc.Fetch&nodeId=55342091&vernum=1;Url;;DIN 9825-3 (1993-02-00);de;trule;DIN 9825-3;1993-02-00;DE18937004;;;
http://jhci/livelink/llisapi.dll/50282933/DIN_EN_ISO_27830_Metallische_und_andere_anorganische_%C3%9Cberz%C3%BCge_-_Leitfaden_zur_Spezifikation_von_metallischen_und_anorganischen_%C3%9Cberz%C3%BCgen_11_2013.pdf?func=doc.Fetch&nodeId=50282933&vernum=2;Url;;DIN EN ISO 27830 (2018-03-00);de;trule;DIN EN ISO 27830;2018-03-00;DE30073721;;;
http://jhci/livelink/llisapi.dll/451539/DIN_EN_485-2_Aluminium_und_Aluminiumlegierungen_-_B%C3%A4nder%2C_Bleche_und_Platten_-_Teil_2_Mechanische_Eigenschaften.pdf?func=doc.Fetch&nodeId=451539&vernum=5;Url;;DIN EN 485-2 (2018-12-00);de;trule;DIN EN 485-2;2018-12-00;DE30079173;;;
http://jhci/livelink/llisapi.dll/60840798/DIN_EN_ISO_8734_Warnvermerk_1_06_2018.pdf?func=doc.Fetch&nodeId=60840798&vernum=1;Url;;DIN EN ISO 8734 (1998-03-00);de;trule;DIN EN ISO 8734;1998-03-00;DE19014022;;;
http://jhci/livelink/llisapi.dll/58078217/VDE_0472-808__DIN_57472-808_Pr%C3%BCfung_an_Kabeln_und_isolierten_Leitungen_Verzinnbarkeit%2C_L%C3%B6tbarkeit_und_L%C3%B6tschrumpfung_02_1984.pdf?func=doc.Fetch&nodeId=58078217&vernum=1;Url;;DIN 57472-808 * DIN VDE 0472-808 * VDE 0472-808 (1984-02-00);de;trule;DIN 57472-808 * DIN VDE 0472-808 * VDE 0472-808;1984-02-00;DE18305971;;;
http://jhci/livelink/llisapi.dll/57724297/VDE_0413-3__DIN_EN_61557-3_Elektrische_Sicherheit_in_Niederspannungsnetzen_bis_AC_1_000_V_und_DC_1_500_V_%E2%80%93_Ger%C3%A4te_zum_Pr%C3%BCfen%2C_Messen_oder_%C3%9Cberwachen_von_Schutzma%C3%9Fnahmen_02_2008.pdf?func=doc.Fetch&nodeId=57724297&vernum=1;Url;;DIN EN 61557-3 * VDE 0413-3 (2008-02-00);de;trule;DIN EN 61557-3 * VDE 0413-3;2008-02-00;DE30027711;;;
http://jhci/livelink/llisapi.dll/56196329/DIN_7527-1_engl._Schmiedest%C3%BCcke_aus_Stahl__Bearbeitungszugaben_und_zul%C3%A4ssige_Abweichungen_f%C3%BCr_freiformgeschmiedete_Scheiben_10_1971_Englisch.pdf?func=doc.Fetch&nodeId=56196329&vernum=1;Url;;DIN 7527-1 (1971-10-00);en;trule;DIN 7527-1;1971-10-00;DE00002285;;;
http://jhci/livelink/llisapi.dll/626839/DIN_EN_754-1_-_Aluminium_und_Aluminiumlegierungen_-_Gezogene_Stangen_und_Rohre_-_Teil_1_Technische_Lieferbedingungen.pdf?func=doc.Fetch&nodeId=626839&vernum=3;Url;;DIN EN 754-1 (2016-10-00);de;trule;DIN EN 754-1;2016-10-00;DE30066436;;;
http://jhci/livelink/llisapi.dll/56596490/DIN_3120_Verbindungsvierkante_f%C3%BCr_handbet%C3%A4tigte_Schraubwerkzeuge_12_1993.pdf?func=doc.Fetch&nodeId=56596490&vernum=1;Url;;DIN 3120 (1993-12-00);de;trule;DIN 3120;1993-12-00;DE18946510;;;
http://jhci/livelink/llisapi.dll/55341786/DAkkS-DKD-3-E1_Angabe_der_Messunsicherheit_bei_Kalibrierungen%C2%A0-_Erg%C3%A4nzung%C2%A01_Beispiele_06_2010.pdf?func=doc.Fetch&nodeId=55341786&vernum=1;Url;;DAkkS-DKD-3-E1 * DAkkS-DKD-3-E1 (2010-06-14);de;trule;DAkkS-DKD-3-E1 * DAkkS-DKD-3-E1;2010-06-14;DE88399609;;;
http://jhci/livelink/llisapi.dll/45650262/IEC_62443-3-1__Industrial_communication_networks_-_Network_and_system_security_-_Security_technologies_for_industrial_automation_and_control_systems_ENG.pdf?func=doc.Fetch&nodeId=45650262&vernum=1;Url;;IEC/TR 62443-3-1 * CEI/TR 62443-3-1 (2009-07-00);en;trule;IEC/TR 62443-3-1 * CEI/TR 62443-3-1;2009-07-00;IX70005682;;;
http://jhci/livelink/llisapi.dll/62204004/IEC_60811-404_Electric_and_optical_fibre_cables_-_Test_methods_for_non-metallic_materials_-_Part_404_Miscellaneous_tests_-_Mineral_oil_immersion_tests_for_sheaths.pdf?func=doc.Fetch&nodeId=62204004&vernum=1;Url;;IEC 60811-404 * CEI 60811-404 (2012-03-00);xx;trule;IEC 60811-404 * CEI 60811-404;2012-03-00;IX45623543;;;
http://jhci/livelink/llisapi.dll/55336313/DIN_EN_ISO_10360-10_Geometrische_Produktspezifikation%C2%A0-Annahmepr%C3%BCfung_und_Best%C3%A4tigungspr%C3%BCfung_f%C3%BCr_Koordinatenmessger%C3%A4te-Teil%C2%A010_Lasertracker_03_2017.pdf?func=doc.Fetch&nodeId=55336313&vernum=1;Url;;DIN EN ISO 10360-10 (2017-03-00);de;trule;DIN EN ISO 10360-10;2017-03-00;DE30064283;;;
http://jhci/livelink/llisapi.dll/246212/DIN_7163_Arbeitsrachenlehren_und_Pr%C3%BCflehren_f%C3%BCr_ISO-Pa%C3%9Fma%C3%9Fe_von_1_bis_500_mm_Nennma%C3%9F.pdf?func=doc.Fetch&nodeId=246212&vernum=2;Url;;DIN 7163 (2017-03-00);de;trule;DIN 7163;2017-03-00;DE30070670;;;
http://jhci/livelink/llisapi.dll/1377695/DIN_ISO_9022-6_Optik_und_optische_Instrumente_-_Umweltpr%C3%BCfverfahren_-_Staub.pdf?func=doc.Fetch&nodeId=1377695&vernum=2;Url;;DIN ISO 9022-6 (2015-08-00);de;trule;DIN ISO 9022-6;2015-08-00;DE30062683;;;
