DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document url*;Url type*;Subscriptions;Document description;Language*;Document type*;Document identifier;Publication date;AcCode*;ID;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;ID du fichier hébergé;Supprimer
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.24 - 2018_scannt.pdf;Url;;ANSI;en;trule;ANSI/SAIA A 92.24;2018-00-00;US88811704;fc8b4364-6f9b-4b16-b33f-6411b5b5219f;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI_J-STD-001C.pdf;Url;;ANSI;en;trule;ANSI/IPC/EIA J-STD-001C;2000-00-00;US83012619;a17e1e83-9304-4c22-8c92-27508de5aa2b;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI-SAIA A92.20 (2021).pdf;Url;;ANSI;en;trule;ANSI/SAIA A 92.20;2021-00-00;US88843672;e16c3242-fa80-4d64-a29c-90120228c909;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.22 - 2018_scannt.pdf;Url;;ANSI;en;trule;ANSI/SAIA A 92.22;2020-00-00;US88810589;9ae6b289-f3a6-431c-908c-d4221ca288da;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI-SAIA A92.22 (2021).pdf;Url;;ANSI;en;trule;ANSI/SAIA A 92.22;2021-00-00;US88843673;895006c5-bb39-4222-98b1-2454d91be1fa;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSISAIA A92.20 - 2018_scannt.pdf;Url;;ANSI;en;trule;ANSI/SAIA A 92.20;2020-00-00;US88810588;61adf2ad-49dd-4827-8208-e9631085103c;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI B11.24-2002 (R2020)_scannt.pdf;Url;;ANSI;en;trule;ANSI B 11.24;2001-00-00;US83500705;e8395607-402c-45c0-8e98-9b2889f453d9;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI Z535.1 2006.pdf;Url;;ANSI;en;trule;ANSI Z 535.1;2006-00-00;US83506013;54c7edd2-00e1-4f2b-8958-1c70f5c18654;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI B11.25-2015_scannt.pdf;Url;;ANSI;en;trule;ANSI B 11.25;2015-00-00;US88277535;abddbcf6-5271-4638-ab03-0f1e739fe863;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI B11.0-2020_scannt.pdf;Url;;ANSI;en;trule;ANSI B 11.0;2020-00-00;US88811070;baaada31-382c-4a8d-9a11-563306e0b215;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1_XCP_AS_How-to-make-a-Seed-&-Key-DLL-for-XCP_V1-0-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_a;2003-03-11;CSMKBP00000013;7ccc5d48-094c-4ff8-8167-c6d70cf99520;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1_CCP_BS_V2-1-0.pdf;Url;;ASAM;en;;empty;20.07.2023 10:44:05;CS20000054;2221cfbf-a38d-417d-bf15-40002319c506;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI B11.19-2019_scannt.pdf.pdf;Url;;ANSI;en;trule;ANSI B 11.19;2019-00-00;US88809432;d7780266-0c90-4b64-996b-ad1ecb707f0d;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_AS_CAN-Transport-Layer_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_b;2015-05-01;CSMKBP00000012;5768c38d-6a40-4783-97e9-b2d48fe3b58c;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ANSI/ANSI B11.20-2017_scannt.pdf;Url;;ANSI;en;trule;ANSI B 11.20;2017-00-00;US88579691;a43fba42-c964-4005-8749-22753270ccc1;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_AS_Ethernet-Transport-Layer_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_c;2015-05-01;CSMKBP00000016;d6acd3f5-febb-447f-9de6-9cf35ff28296;;
